,feature,nmatches,ngoodmatches,ex_time
0,orb,2000.0,39.0,0.3005959987640381
0,orb,2000.0,49.0,0.3419718742370605
0,orb,2000.0,15.0,0.2971811294555664
0,orb,2000.0,48.0,0.3631939888000488
0,orb,2000.0,50.0,0.2850151062011719
0,orb,2000.0,50.0,0.2989020347595215
0,orb,2000.0,38.0,0.2810969352722168
0,orb,2000.0,46.0,0.3508281707763672
0,orb,2000.0,50.0,0.36140799522399897
0,orb,2000.0,44.0,0.4309527873992921
0,orb,2000.0,37.0,0.3557770252227783
0,orb,2000.0,32.0,0.3666751384735107
0,orb,2000.0,50.0,0.32881617546081543
0,orb,2000.0,50.0,0.3514389991760254
0,orb,2000.0,10.0,0.406857967376709
0,orb,2000.0,50.0,0.3207061290740967
0,orb,2000.0,47.0,0.3085060119628906
0,orb,2000.0,43.0,0.3795099258422852
0,orb,2000.0,39.0,0.3097701072692871
0,orb,2000.0,45.0,0.2877938747406006
0,orb,2000.0,33.0,0.2778940200805664
0,orb,2000.0,37.0,0.2734949588775635
0,orb,2000.0,44.0,0.34886717796325684
0,orb,2000.0,12.0,0.4387450218200684
0,orb,2000.0,50.0,0.32343101501464844
0,orb,2000.0,50.0,0.3339040279388428
0,orb,2000.0,46.0,0.3550369739532471
0,orb,2000.0,9.0,0.32255101203918457
0,orb,1939.0,50.0,0.37007498741149897
0,orb,1939.0,32.0,0.33031702041625977
0,orb,1911.0,29.0,0.2768299579620361
0,orb,1884.0,50.0,0.40909481048583984
0,orb,1884.0,21.0,0.3328831195831299
0,orb,1991.0,18.0,0.3187360763549805
0,orb,1944.0,50.0,0.2846319675445557
0,orb,1945.0,35.0,0.2641761302947998
0,orb,1992.0,38.0,0.3745658397674561
0,orb,1992.0,50.0,0.30387115478515625
0,orb,1992.0,14.0,0.3071269989013672
0,orb,1630.0,30.0,0.2397069931030273
0,orb,1291.0,50.0,0.17619085311889648
0,orb,1292.0,50.0,0.2534821033477783
0,orb,1302.0,50.0,0.17392992973327634
0,orb,1302.0,48.0,0.2230420112609864
0,orb,1397.0,50.0,0.31016087532043457
0,orb,1522.0,50.0,0.2952549457550049
0,orb,1522.0,44.0,0.32678914070129395
0,orb,1598.0,50.0,0.2920048236846924
0,orb,1618.0,26.0,0.4258401393890381
0,orb,1716.0,42.0,0.3242199420928955
0,orb,1750.0,33.0,0.33087587356567383
0,orb,1572.0,50.0,0.2485699653625489
