,feature,nmatches,ngoodmatches,ex_time
0,orb,2000.0,30.0,0.2967128753662109
0,orb,2000.0,10.0,0.3628249168395996
0,orb,2000.0,24.0,0.3281450271606445
0,orb,2000.0,50.0,0.37451887130737305
0,orb,2000.0,49.0,0.3707149028778076
0,orb,2000.0,39.0,0.3308038711547852
0,orb,2000.0,30.0,0.3106529712677002
0,orb,2000.0,49.0,0.5245070457458496
0,orb,2000.0,10.0,0.5070409774780273
0,orb,1997.0,50.0,0.5185279846191406
0,orb,1997.0,34.0,0.4131479263305664
0,orb,2000.0,39.0,0.4463849067687988
0,orb,2000.0,50.0,0.4073610305786133
0,orb,2000.0,50.0,0.4325039386749268
0,orb,2000.0,34.0,0.3843750953674317
0,orb,2000.0,11.0,0.28783321380615234
0,orb,1556.0,29.0,0.261566162109375
0,orb,1778.0,50.0,0.2831308841705322
0,orb,1771.0,48.0,0.3073110580444336
0,orb,1758.0,35.0,0.2664909362792969
0,orb,1633.0,34.0,0.2848000526428223
0,orb,1703.0,37.0,0.2639570236206055
0,orb,1716.0,50.0,0.27335309982299805
0,orb,1700.0,50.0,0.2965390682220459
0,orb,1706.0,50.0,0.2330350875854492
0,orb,1725.0,37.0,0.31265687942504883
0,orb,1741.0,50.0,0.3097529411315918
0,orb,1741.0,10.0,0.3605649471282959
0,orb,2000.0,38.0,0.35108208656311035
0,orb,2000.0,42.0,0.3608841896057129
0,orb,2000.0,46.0,0.35739994049072266
0,orb,2000.0,38.0,0.2991600036621094
0,orb,2000.0,44.0,0.3781678676605225
0,orb,2000.0,44.0,0.3216209411621094
0,orb,2000.0,39.0,0.32419490814208984
0,orb,2000.0,50.0,0.3626790046691895
0,orb,2000.0,29.0,0.3472900390625
0,orb,2000.0,50.0,0.3364379405975342
0,orb,2000.0,50.0,0.32678890228271484
0,orb,2000.0,48.0,0.34020304679870605
0,orb,2000.0,9.0,0.34378600120544434
0,orb,2000.0,13.0,0.3221719264984131
0,orb,2000.0,34.0,0.33802199363708496
0,orb,2000.0,39.0,0.3319010734558105
0,orb,2000.0,16.0,0.34227585792541504
0,orb,2000.0,45.0,0.3292641639709473
0,orb,2000.0,11.0,0.3594830036163329
0,orb,2000.0,42.0,0.35025787353515625
0,orb,2000.0,49.0,0.3082349300384521
0,orb,2000.0,50.0,0.3215820789337158
0,orb,2000.0,48.0,0.2990272045135498
0,orb,2000.0,48.0,0.3022079467773437
0,orb,2000.0,11.0,0.3141989707946777
0,orb,2000.0,47.0,0.3130640983581543
0,orb,2000.0,48.0,0.32978200912475586
0,orb,2000.0,49.0,0.3957159519195557
0,orb,2000.0,36.0,0.3945059776306152
0,orb,2000.0,35.0,0.350661039352417
0,orb,2000.0,50.0,0.3465950489044189
0,orb,2000.0,24.0,0.3397209644317627
0,orb,2000.0,38.0,0.33827805519104004
0,orb,2000.0,28.0,0.4281420707702637
0,orb,2000.0,30.0,0.6055858135223389
0,orb,2000.0,49.0,0.557642936706543
0,orb,2000.0,47.0,0.4612929821014404
0,orb,2000.0,50.0,0.479665994644165
0,orb,2000.0,49.0,0.4645330905914306
0,orb,2000.0,43.0,0.4279789924621582
0,orb,2000.0,50.0,0.3750040531158447
0,orb,2000.0,46.0,0.4172570705413817
0,orb,2000.0,37.0,0.3257300853729248
0,orb,2000.0,50.0,0.32781195640563965
0,orb,2000.0,46.0,0.3967111110687256
0,orb,2000.0,44.0,0.31260013580322266
0,orb,2000.0,42.0,0.3212089538574219
0,orb,2000.0,34.0,0.41667890548706055
0,orb,2000.0,50.0,0.4408190250396729
0,orb,2000.0,41.0,0.3388090133666992
0,orb,2000.0,36.0,0.3619329929351807
0,orb,2000.0,29.0,0.344465970993042
0,orb,2000.0,32.0,0.3541910648345947
0,orb,2000.0,49.0,0.35939383506774897
0,orb,2000.0,37.0,0.35866594314575195
0,orb,2000.0,43.0,0.34785103797912603
0,orb,2000.0,34.0,0.33736085891723633
0,orb,2000.0,50.0,0.4248030185699463
0,orb,2000.0,45.0,0.3660311698913574
0,orb,2000.0,26.0,0.3190429210662842
0,orb,2000.0,46.0,0.3903348445892334
0,orb,2000.0,36.0,0.3431129455566406
0,orb,2000.0,23.0,0.34920597076416016
0,orb,2000.0,43.0,0.34093213081359863
0,orb,2000.0,17.0,0.34231996536254883
0,orb,2000.0,40.0,0.35533714294433594
0,orb,2000.0,36.0,0.4111008644104004
0,orb,2000.0,27.0,0.3265211582183838
0,orb,2000.0,11.0,0.4437360763549805
0,orb,2000.0,40.0,0.3120720386505127
0,orb,2000.0,39.0,0.3092539310455322
0,orb,2000.0,31.0,0.3569059371948242
0,orb,2000.0,37.0,0.3042590618133545
0,orb,2000.0,28.0,0.376776933670044
0,orb,2000.0,10.0,0.4640190601348877
0,orb,2000.0,36.0,0.3447079658508301
0,orb,2000.0,49.0,0.3606789112091065
0,orb,2000.0,47.0,0.3275918960571289
0,orb,2000.0,38.0,0.35459017753601074
0,orb,2000.0,28.0,0.3315579891204834
0,orb,2000.0,50.0,0.3420290946960449
0,orb,2000.0,49.0,0.33717894554138184
0,orb,2000.0,25.0,0.34810519218444824
0,orb,2000.0,50.0,0.298691987991333
0,orb,2000.0,33.0,0.3776860237121582
0,orb,2000.0,48.0,0.3047170639038086
0,orb,2000.0,48.0,0.3645761013031006
0,orb,2000.0,24.0,0.3677070140838623
0,orb,2000.0,18.0,0.3999660015106201
0,orb,2000.0,29.0,0.3453941345214844
0,orb,2000.0,44.0,0.27970194816589355
0,orb,2000.0,19.0,0.3550810813903809
0,orb,2000.0,18.0,0.3168010711669922
0,orb,2000.0,50.0,0.32964396476745605
0,orb,2000.0,35.0,0.3267040252685547
0,orb,2000.0,32.0,0.33978796005249023
0,orb,2000.0,25.0,0.2824811935424805
0,orb,2000.0,27.0,0.39710307121276855
0,orb,2000.0,33.0,0.36189389228820795
0,orb,2000.0,29.0,0.3140969276428223
0,orb,2000.0,25.0,0.34647417068481445
0,orb,2000.0,39.0,0.3962531089782715
0,orb,2000.0,45.0,0.3032400608062744
0,orb,2000.0,48.0,0.31705784797668457
0,orb,2000.0,46.0,0.2633481025695801
0,orb,2000.0,40.0,0.3248410224914551
0,orb,2000.0,42.0,0.3138689994812012
0,orb,2000.0,50.0,0.3098561763763428
0,orb,2000.0,40.0,0.3446390628814697
0,orb,2000.0,50.0,0.34549403190612793
0,orb,2000.0,30.0,0.3474102020263672
0,orb,2000.0,39.0,0.3957691192626953
0,orb,2000.0,50.0,0.3988678455352783
0,orb,2000.0,50.0,0.3350710868835449
0,orb,2000.0,41.0,0.3150138854980469
0,orb,2000.0,44.0,0.3181071281433105
0,orb,2000.0,41.0,0.3691658973693848
0,orb,2000.0,36.0,0.3514440059661865
0,orb,2000.0,22.0,0.3246800899505615
0,orb,2000.0,27.0,0.37625908851623535
0,orb,2000.0,48.0,0.3159761428833008
0,orb,2000.0,22.0,0.351747989654541
0,orb,2000.0,42.0,0.3207581043243408
0,orb,2000.0,40.0,0.3702120780944824
0,orb,2000.0,16.0,0.3491809368133545
0,orb,2000.0,33.0,0.3373250961303711
0,orb,2000.0,23.0,0.3230891227722168
0,orb,2000.0,35.0,0.3951079845428467
0,orb,2000.0,24.0,0.3321421146392822
0,orb,2000.0,40.0,0.32953500747680664
0,orb,2000.0,22.0,0.35376501083374023
0,orb,2000.0,11.0,0.43795108795166016
0,orb,2000.0,46.0,0.34606313705444336
0,orb,2000.0,39.0,0.37299394607543945
0,orb,2000.0,39.0,0.3677330017089844
0,orb,2000.0,28.0,0.3561890125274658
0,orb,2000.0,45.0,0.2954030036926269
0,orb,2000.0,12.0,0.4388899803161621
0,orb,2000.0,47.0,0.34681081771850586
0,orb,2000.0,40.0,0.433305025100708
0,orb,2000.0,31.0,0.3061821460723877
0,orb,2000.0,42.0,0.35017991065979004
0,orb,2000.0,37.0,0.35715794563293457
0,orb,2000.0,17.0,0.3293561935424805
0,orb,2000.0,37.0,0.3116271495819092
0,orb,2000.0,31.0,0.3137240409851074
0,orb,2000.0,31.0,0.3794729709625244
0,orb,2000.0,36.0,0.3498620986938477
0,orb,2000.0,24.0,0.3077969551086426
0,orb,2000.0,49.0,0.3768501281738281
0,orb,2000.0,39.0,0.3413028717041016
0,orb,2000.0,36.0,0.3223898410797119
0,orb,2000.0,21.0,0.3630869388580322
0,orb,2000.0,35.0,0.3430619239807129
0,orb,2000.0,49.0,0.34502100944519043
0,orb,2000.0,40.0,0.3435578346252441
0,orb,2000.0,36.0,0.3664538860321045
0,orb,2000.0,39.0,0.2812020778656006
0,orb,2000.0,44.0,0.3778669834136963
0,orb,2000.0,41.0,0.35519886016845703
0,orb,2000.0,49.0,0.40129899978637695
0,orb,2000.0,26.0,0.3873109817504883
0,orb,2000.0,50.0,0.32001304626464844
0,orb,2000.0,26.0,0.3344409465789795
0,orb,2000.0,50.0,0.3648240566253662
0,orb,2000.0,50.0,0.3497130870819092
0,orb,2000.0,30.0,0.3502190113067627
0,orb,1975.0,50.0,0.30324602127075195
0,orb,1975.0,15.0,0.26264119148254395
0,orb,1527.0,34.0,0.2459979057312012
0,orb,1475.0,50.0,0.2298088073730469
0,orb,1463.0,23.0,0.19258499145507807
0,orb,1486.0,50.0,0.2700059413909912
0,orb,1476.0,50.0,0.20342087745666504
0,orb,1483.0,50.0,0.2375571727752685
0,orb,1484.0,50.0,0.3705120086669922
0,orb,1484.0,24.0,0.3249762058258057
0,orb,1618.0,28.0,0.3665449619293213
0,orb,1656.0,50.0,0.2521038055419922
0,orb,1643.0,25.0,0.3082008361816406
0,orb,1835.0,19.0,0.3274409770965576
0,orb,1817.0,50.0,0.460500955581665
0,orb,1828.0,50.0,0.4264359474182129
0,orb,1824.0,17.0,0.3367609977722168
0,orb,1340.0,38.0,0.3575429916381836
0,orb,1442.0,42.0,0.3029239177703857
