,"nfeatures","nmatches","ngoodmatches","reproj_error","ex_time"
0,54,54,8,"0,2790641785","0,1965260506"
0,84,84,12,"0,4201331139","0,2133460045"
0,70,70,12,"1,0476207733","0,2054409981"
0,73,73,12,0,"0,2096059322"
0,97,97,13,"0,422996521","0,2200548649"
0,77,77,11,"17,5349502563","0,209872961"
0,121,121,13,"2,262518141","0,2276010513"
0,141,141,12,"2,380666097","0,2109868526"
0,139,139,12,"1,0823631287","0,2123148441"
0,138,138,13,"35,2911267281","0,2288460732"
0,223,223,12,0,"0,2238378525"
0,207,207,13,"2,1109714508","0,2350618839"
0,225,225,12,0,"0,217730999"
0,212,212,13,"3,3533732096","0,2345201969"
0,228,228,12,0,"0,2218639851"
0,193,193,12,0,"0,2143371105"
0,161,161,13,"0,1990407308","0,2301158905"
0,181,181,12,0,"0,2123990059"
0,168,168,13,"0,8026504517","0,2293739319"
0,169,169,12,0,"0,2158699036"
0,129,129,13,"1,2767410278","0,2274270058"
0,98,98,13,"0,7588157654","0,2296590805"
0,96,96,13,"13,6709415729","0,2246251106"
0,87,87,13,"0,926864624","0,2187190056"
0,108,108,12,0,"0,2097630501"
0,82,82,12,"6,053252538","0,2105190754"
0,87,87,12,"1,6786200205","0,2065470219"
0,77,77,12,0,"0,2113289833"
0,93,93,15,"0,2848892212","0,2150831223"
0,92,92,14,"6,3822491964","0,2414810658"
0,96,96,12,"0,0467308044","0,2158098221"
0,110,110,12,"0,6419785817","0,2065489292"
0,110,110,12,"0,7230669657","0,2081329823"
0,106,106,9,"0,1841449738","0,2101590633"
0,139,139,13,"0,8790869279","0,2255620956"
0,124,124,13,"1,4531829541","0,2311899662"
0,126,126,14,0,"0,2266390324"
0,127,127,14,"1,4276670728","0,2271380424"
0,130,130,13,"0,5040893555","0,2300179005"
0,135,135,13,"0,4753952026","0,2367970943"
0,151,151,12,"0,7816364288","0,2174448967"
0,152,152,12,"0,2588108608","0,2147591114"
0,153,153,13,"0,0179901123","0,2429049015"
0,136,136,12,"29,154441452","0,2410421371"
0,179,179,14,"0,0545794169","0,2348380089"
0,171,171,13,"0,2534985542","0,2300229073"
0,174,174,14,"1,4319877625","0,2300899029"
0,187,187,15,"0,6559252058","0,2403638363"
0,168,168,9,"9,2016296387","0,2105929852"
0,122,122,11,0,"0,207971096"
0,96,96,12,"0,2867336273","0,2076561451"
0,96,96,11,"1,2577362061","0,2046980858"
0,94,94,13,"0,5805681402","0,2281069756"
0,81,81,3,"0,5805681402","0,1841020584"
0,32,32,4,"0,5805681402","0,1864550114"
0,22,22,4,"0,5805681402","0,1859409809"
0,28,28,7,"0,5805681402","0,1830611229"
0,20,20,5,"0,5805681402","0,1912248135"
0,17,17,2,"0,5805681402","0,1862468719"
0,18,18,1,"0,5805681402","0,182669878"
0,11,11,4,"0,5805681402","0,1865990162"
0,15,15,3,"0,5805681402","0,1828410625"
0,14,14,2,"0,5805681402","0,1905949116"
0,13,13,3,"0,5805681402","0,1851799488"
0,18,18,6,"0,5805681402","0,1895730495"
0,21,21,6,"0,5805681402","0,1877028942"
0,24,24,4,"0,5805681402","0,1833720207"
0,19,19,6,"0,5805681402","0,1868779659"
0,34,34,8,"0,7055873871","0,1921899319"
0,30,30,9,"1,2401036157","0,1897251606"
0,36,36,7,"1,2401036157","0,1962280273"
0,35,35,9,0,"0,1968371868"
0,31,31,5,0,"0,1828069687"
0,26,26,6,0,"0,188256979"
0,31,31,7,0,"0,2020599842"
0,29,29,8,"2,7852082253","0,1923570633"
0,39,39,9,0,"0,1993701458"
0,43,43,8,"24,3829584122","0,1913859844"
0,34,34,8,0,"0,1987380981"
0,37,37,8,"0,1062066896","0,1947100163"
0,24,24,9,"0,4363273893","0,1945080757"
0,35,35,10,"2,6196708679","0,1977632046"
0,35,35,9,"0,44419384","0,197412014"
0,37,37,9,"0,8496999741","0,1934249401"
0,40,40,7,"0,8496999741","0,2013301849"
0,32,32,7,"0,8496999741","0,1910340786"
0,30,30,3,"0,8496999741","0,1851711273"
0,27,27,8,"4,5750967488","0,1928560734"
0,24,24,7,"4,5750967488","0,1857337952"
0,28,28,6,"4,5750967488","0,1834471226"
0,23,23,6,"4,5750967488","0,1876819134"
0,20,20,7,"4,5750967488","0,1874189377"
